# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
#0|Скобы усиленные &#8199;8 мм                  |188|41708   |  68,00|  64,00|  61,00
#0|Скобы усиленные       10 мм                  |188|41710   |  78,00|  73,00|  68,00
#0|Скобы усиленные       12 мм                  |188|41712   |  88,00|  84,00|  79,00
#1|Скобы для степлера, тип 53                   |188|SM0853  |  39,00|  36,00|  34,00||norow|| MiLES|Тип скобы 53 (№3 по классификации MiLES): толщина&nbsp;0,7&#8239;мм, ширина&nbsp;11,4&#8239;мм, глубина&nbsp;от&nbsp;8 до&nbsp;14&#8239;мм.<br><br>Цена за упаковку 1000 шт.||/img/pic/strhoz/small/Scoby_MiLES.jpg|/img/pic/strhoz/big/jpg
#0|Скобы &#8199;8 мм                            |188|SM0853  |  39,00|  36,00|  34,00|
#0|Скобы       10 мм                            |188|SM1053  |  49,00|  45,00|  41,00|
#0|Скобы       12 мм                            |188|SM1253  |  63,00|  59,00|  55,00|
#0|Скобы       14 мм                            |188|SM1453  |  88,00|  84,00|  79,00|
#1|Степлер мебельный                            |188|643103  | 425,00| 425,00| 425,00||norow sale1 one|| STELGRIT для скоб тип 53: 4—14&#8239;мм&nbsp;х&nbsp;0.7&#8239;мм <span class=art>арт. 643103</span>|</span></p><UL><LI>Степлер изготовлен из металла, хромирован.<LI>Пружинный ударный механизм с поглощающей резиновой вставкой для смягчения удара на руку.<LI>Имеется инструкция по применению.||/img/pic/strhoz/small/ART-643103.jpg|/img/pic/strhoz/big/ART-643103.jpg
#0|Степлер мебельный    STELGRIT для скоб тип 53|188|643103  | 425,00| 425,00| 425,00
#1|Степлер мебельный металлический универсальный|188|40004   |1165,00|1095,00|1045,00||norow|| БАРС "3&nbsp;в&nbsp;1", 6&nbsp;—&nbsp;14&#8239;мм <span class=art>арт. 40004</span>|</span></p><UL><LI>Используется с крепежом 3 типов: <b>53</b>&nbsp;—&nbsp;скобы; <b>300</b>&nbsp;—&nbsp;гвозди; <b>500</b>&nbsp;—&nbsp;штифты.<LI>Металлическая рукоятка с анатомическими накладками из резины и пластика.<LI>Плавная регулировка силы удара; быстрая загрузка скоб; рабочий ресурс&nbsp;—&nbsp;75&nbsp;000&nbsp;ударов.</UL><p><span class="addt">||/img/pic/strhoz/small/ART-40004.jpg|/img/pic/strhoz/big/ART-40004.jpg
#0|Степлер мебельный метал. БАРС "3 в 1"        |188|40004   |1165,00|1095,00|1045,00
#1|Степлер мебельный                            |188|41003   | 895,00| 865,00| 845,00||norow|| GROSS <span class=art>арт. 41003</span>|</span></p><UL><LI>Корпус из высокопрочного пластика, обрезиненная рукоятка с горизонтальной фиксацией.<LI>Регулировка усилия забивания скобы.<LI>Применяется в работах по обивке мебели, фиксации низковольтных кабелей и т.д. Профессиональное использование.<LI><b>Тип скобы</b>: 13 и 53, размером 6—16&#8239;мм.<LI><b>Тип гвоздя</b>: 300, размером 16&#8239;мм.</UL><p><span class="addt">||/img/pic/strhoz/small/STEPLER GROSS.jpg|/img/pic/strhoz/big/STEPLER GROSS.jpg
#0|Степлер мебельный        GROSS               |188|41003   | 895,00| 865,00| 845,00
#0|Скобы       12 мм закаленные                 |188|41212   |  88,00|  84,00|  79,00
#0|Скобы       14 мм закаленные тип 140         |188|41314   |  65,00|  59,00|  55,00||blue
#1|Степлер мебельный|188||298.00|288|||| MATRIX Standard <span class=art>арт. 40902</span>|<b>Тип скобы</b>: 53, размером 6—14 мм||/img/pic/instr/small/STEPLER standart A.jpg|/img/pic/instr/big/STEPLER standart A.jpg
#1|Степлер мебельный|188||369.00|355|||| MATRIX Professional <span class=art>арт. 40913</span>|</span></p><UL><LI>Изготовлен из хромированной стали, имеет функцию ускоренной загрузки скоб.<LI>Оснащен двухпозиционным контролем силы удара и глубины забивания скоб.</UL><p><span class="addt"><b>Тип скобы</b>: 13, 53, 300, размером 6—14&#8239;мм||/img/pic/strhoz/small/Stepler.jpg|/img/pic/strhoz/big/Stepler.jpg

# 133,cat133 # 268,cat268 # 271,cat271 # 272,cat272 # 449,cat449 # 450,cat450|Напильники
 1|Напильник с деревян. рук. 300 мм квадратный |133|KV30   |198|192|189|||Напильники| с деревянной рукояткой|||/img/pic/instr/small/Napilniki s derevjan ruchkoq.jpg|/img/pic/instr/big/Napilniki s derevjan ruchkoq.jpg
 0|Напильник с деревян. рук. 300 мм круглый    |133|PK30   |198|192|189|
 0|Напильник с деревян. рук. 300 мм плоский    |133|PL30   |245|239|233|
 0|Напильник с деревян. рук. 300 мм полукруглый|133|PP30   |235|228|216|
 0|Напильник с деревян. рук. 300 мм трехгранный|133|3G30   |228|212|208|
 1|Напильник квадратный 150 мм № 1             |449|NKV1501| 77| 75| 72||norow|Напильники квадратные| без рукоятки|||/img/pic/instr/small/NKV1501.jpg|/img/pic/instr/big/jpg
 0|Напильник квадратный 150 мм № 1             |449|NKV1501| 77| 75| 72|
 0|Напильник квадратный 150 мм № 2             |449|NKV1502| 99| 96| 92|
 0|Напильник квадратный 150 мм № 3             |449|NKV1503| 89| 86| 84|
 0|Напильник квадратный 200 мм № 1             |449|NKV2001|129|122|118|
 0|Напильник квадратный 200 мм № 2             |449|NKV2002|129|122|118|
 0|Напильник квадратный 200 мм № 3             |449|NKV2003|129|122|118|
 0|Напильник квадратный 250 мм № 1             |449|NKV2501|129|122|118|
 0|Напильник квадратный 250 мм № 2             |449|NKV2502|169|164|161|
 0|Напильник квадратный 250 мм № 3             |449|NKV2503|177|173|169|
 1|Рукоятка для напильника деревянная    200 мм|449|RNF200 | 23| 23| 23||norow||  <span class="art">арт. RNF200</span>|||/img/pic/instr/small/RNF200.jpg|/img/pic/instr/big/jpg
 0|Рукоятка для напильника деревянная    200 мм|449|RNF200 | 23| 23| 23|
#1|Рукоятка для напильника пластмассовая 200 мм|449|RNP200 | 23| 23| 23|||Рукоятки| для напильника|||/img/pic/instr/small/RNP200.jpg|/img/pic/instr/big/jpg
#0|Рукоятка для напильника пластмассовая 300 мм|449|RNP300 | 23| 23| 23||
 1|Напильник круглый 150&nbsp;мм № 1           |272|NK1501 | 99| 97| 95||norow|Напильники круглые| без рукоятки|||/img/pic/instr/small/NK1501.jpg|/img/pic/instr/big/jpg
 0|Напильник круглый 150 мм № 1                |272|NK1501 | 99| 97| 95|
 0|Напильник круглый 150 мм № 2                |272|NK1502 |149|144|141|
 0|Напильник круглый 150 мм № 3                |272|NK1502 |139|133|129|
 0|Напильник круглый 200 мм № 1                |272|NK2001 |177|173|169|
 0|Напильник круглый 200 мм № 2                |272|NK2002 |119|115|111|
 0|Напильник круглый 200 мм № 3                |272|NK2003 |119|115|111|
 0|Напильник круглый 250 мм № 1                |272|NK2501 |129|122|118|
 0|Напильник круглый 250 мм № 2                |272|NK2502 |129|122|118|
 0|Напильник круглый 250 мм № 3                |272|NK2503 |129|122|118||
 0|Напильник круглый 300 мм № 3                |272|NK3003 |129|122|118|
 1|Рукоятка для напильника деревянная    200 мм|272|RNF200 | 23| 23| 23||norow||  <span class="art">арт. RNF200</span>|||/img/pic/instr/small/RNF200.jpg|/img/pic/instr/big/jpg
 0|Рукоятка для напильника деревянная    200 мм|272|RNF200 | 23| 23| 23|
#1|Рукоятка для напильника пластмассовая 200 мм|272|RNP200 | 23| 23| 23|||Рукоятки| для напильника|||/img/pic/instr/small/RNP200.jpg|/img/pic/instr/big/jpg
#0|Рукоятка для напильника пластмассовая 300 мм|272|RNP300 | 23| 23| 23||
 1|Напильник плоский 150 мм № 1                |268|NP1501 | 77| 75| 72||norow|Напильники плоские| без рукоятки|||/img/pic/instr/small/NP1501.jpg|/img/pic/instr/big/jpg
 0|Напильник плоский 150 мм № 1                |268|NP1501 | 77| 75| 72|
 0|Напильник плоский 150 мм № 2                |268|NP1502 | 77| 75| 72|
 0|Напильник плоский 150 мм № 3                |268|NP1503 | 77| 75| 72|
 0|Напильник плоский 200 мм № 1                |268|NP2001 | 77| 75| 72|
 0|Напильник плоский 200 мм № 2                |268|NP2002 |129|122|118|
 0|Напильник плоский 200 мм № 3                |268|NP2003 |139|133|129|
 0|Напильник плоский 250 мм № 1                |268|NP2501 |129|122|118|
#0|Напильник плоский 250 мм № 2                |268|NP2502 |149|142|139|
 0|Напильник плоский 250 мм № 3                |268|NP2503 |149|142|139|
 0|Напильник плоский 300 мм № 1                |268|NP3001 |139|133|129|
 0|Напильник плоский 300 мм № 2                |268|NP3002 |149|144|141|
 1|Рукоятка для напильника деревянная    200 мм|268|RNF200 | 23| 23| 23||norow||  <span class="art">арт. RNF200</span>|||/img/pic/instr/small/RNF200.jpg|/img/pic/instr/big/jpg
 0|Рукоятка для напильника деревянная    200 мм|268|RNF200 | 23| 23| 23|
#1|Рукоятка для напильника пластмассовая 200 мм|268|RNP200 | 23| 23| 23|||Рукоятки| для напильника|||/img/pic/instr/small/RNP200.jpg|/img/pic/instr/big/jpg
